Rank,Name,Year,Position,WAR_z,oWAR_z,dWAR_z,득점_z,안타_z,홈런_z,타점_z,도루_z,볼넷_z,삼진_z,타율_z,출루율_z,장타율_z,OPS_z,R/ePA_z,wRC+_z
4471,최익성,1996,CF,-0.374356058,-0.345068767,-0.110312226,-0.513215965,-0.64363355,-0.146678578,-0.523656016,-0.350547809,-0.6054297,-0.78477613,0.245868906,0.607726609,0.55730535,0.602831336,0.408407319,0.420922047
4472,김주성,1996,SS,-0.379639922,-0.510943523,0.408877372,-0.849032463,-0.822206531,-0.669456075,-0.939588509,-0.457403391,-0.823871565,-0.617341161,0.200989355,-0.280386335,-0.432036203,-0.392591433,-0.150338915,-0.235699361
4473,김동기,1996,C,-0.379639922,-0.489540329,0.339652092,-0.753084892,-0.94975866,0.027580587,-0.662300181,-0.671114555,-0.6054297,-0.78477613,-0.651722111,-0.156463599,0.396537347,0.198187934,0.073159579,0.024981797
4475,이종호,1996,2B,-0.39020765,-0.494891127,0.322345772,-0.944980034,-0.796696105,-0.84371524,-0.893373788,-0.564258973,-0.823871565,-0.701058646,0.649784864,0.318573558,-0.642271283,-0.295477017,0.017284955,-0.036499608
4476,정경훈,1996,SS,-0.39020765,-0.644713488,0.806922731,-0.033478109,-0.975269086,-0.84371524,-1.078232674,1.252285922,-0.6054297,-0.659199903,-0.876119865,-0.46627044,-0.976174058,-0.821513439,-0.522836404,-0.668528454
4480,강성우,1996,C,-0.406059242,-0.548399113,0.443490012,-0.753084892,-0.669143976,-0.495196909,-0.292582409,-0.564258973,-0.386987836,-0.617341161,-0.449764132,-0.197771178,-0.518603589,-0.416870037,-0.168963789,-0.250454899
4481,김병조,1996,DH,-0.411343106,-0.286209982,-0.404519666,-0.609163536,-0.924248234,-0.669456075,-0.893373788,-0.564258973,-0.878482031,-1.077787325,1.255658801,1.516493344,0.829374277,1.136960627,1.023028177,1.151321141
4483,임주택,1996,CF,-0.41662697,-0.243403593,-0.577582865,-0.705111107,-0.669143976,-0.320937744,-0.246367688,-0.457403391,-0.550819234,-0.575482419,0.335628008,0.297919768,0.594405658,0.50571692,0.445657068,0.470107171
4485,강형석,1996,OF,-0.41662697,-0.40927835,-0.041086947,-0.225373251,-0.363018866,-0.495196909,-0.338797131,-0.029981063,-0.332377369,-0.366188708,-0.382444806,0.318573558,-0.382569126,-0.125526788,-0.206213538,-0.307017791
4487,한대화,1996,3B,-0.421910834,-0.355770364,-0.231456466,-0.801058678,-0.669143976,0.027580587,-0.523656016,-0.564258973,-0.386987836,-0.659199903,-0.202926602,-0.053194652,0.309969961,0.182002198,0.166283951,0.135648326
4488,강인권,1996,C,-0.432478561,-0.575153106,0.443490012,-1.088901391,-1.204862919,-0.669456075,-1.032017952,-0.671114555,-0.823871565,-1.245222294,-0.472203907,0.834918293,-0.642271283,-0.093155316,-0.001339919,-0.048795889
4489,백인호,1996,RF,-0.437762425,-0.436032343,-0.006474307,-0.705111107,-0.745675253,-0.495196909,-0.800944345,-0.564258973,-0.386987836,-0.701058646,-0.202926602,0.380534926,-0.394935895,-0.109341052,0.073159579,0.027441053
4492,최철민,1996,C,-0.448330153,-0.387875155,-0.214150146,-0.56118975,-0.847716957,-0.669456075,-0.800944345,-0.671114555,-0.987702963,-0.868493614,1.121020148,0.2359584,0.680973044,0.538088392,0.613280938,0.666847668
4493,박현영,1996,C,-0.448330153,-0.553749912,0.322345772,-0.705111107,-0.694654402,-0.146678578,-0.569870738,-0.564258973,-0.933092497,-0.659199903,0.021471152,-0.83803865,0.186302267,-0.206455468,-0.243463287,-0.326691841
4495,동봉철,1996,CF,-0.448330153,-0.457435537,-0.006474307,0.39828596,-0.260977162,-0.320937744,-0.385011852,0.931719176,0.650611021,-0.073177513,-1.324915374,-0.342347704,-0.741205439,-0.619191738,-1.603079123,-0.560321181
4497,공의식,1996,OF,-0.453614017,-0.510943523,0.166588893,-0.99295382,-1.102821215,-0.320937744,-0.893373788,-0.243692227,-0.823871565,-0.575482419,-0.539523234,-0.032540862,0.483104733,0.303395218,0.110409328,0.074166921
4502,이종열,1996,2B,-0.474749473,-0.623310293,0.478102652,-0.513215965,-0.363018866,-0.84371524,-0.754729624,0.61115243,-0.6054297,-1.035928583,0.021471152,-0.590193177,-0.407302665,-0.497798718,-0.317962785,-0.402928784
4503,박선일,1996,C,-0.474749473,-0.612608696,0.426183692,-1.136875177,-1.000779512,-0.669456075,-0.939588509,-0.671114555,-1.096923895,-0.994069841,0.200989355,-0.755423492,0.037901034,-0.271198413,-0.113089166,-0.203729031
4509,진상봉,1996,CF,-0.495884929,-0.387875155,-0.369907026,-1.184848962,-1.051800364,-0.495196909,-0.893373788,-0.671114555,-0.550819234,-1.245222294,0.290748457,1.144725134,0.260502884,0.619017072,0.855404307,0.971795438
4510,조원우,1996,LF,-0.501168793,-0.147089219,-1.148691423,0.494233532,0.453314762,-0.495196909,0.077135362,0.183730101,-0.113935505,-0.491764935,0.604905313,0.277265979,-0.394935895,-0.149805392,-0.019964793,-0.068469939
4512,이정훈,1996,RF,-0.501168793,-0.585854703,0.253120492,-0.609163536,-0.745675253,-0.669456075,-0.800944345,-0.350547809,-0.386987836,-1.119646067,-0.629282336,-0.011887073,-0.7164719,-0.473520114,-0.392462283,-0.516054569
4513,이민호,1996,3B,-0.506452657,-0.441383141,-0.231456466,-0.657137321,-0.745675253,0.376098918,-0.523656016,-0.457403391,-0.386987836,-0.073177513,-0.831240314,-0.424962861,0.260502884,0.003959101,-0.075839417,-0.147166138
4514,김승관,1996,1B,-0.506452657,-0.350419565,-0.542970225,-1.040927606,-1.000779512,-0.84371524,-0.800944345,-0.671114555,-0.933092497,-1.287081036,0.851742843,0.483803873,1.101443204,0.910360322,1.0789028,1.234935852
4520,김용선,1996,2B,-0.517020385,-0.628661092,0.322345772,-1.136875177,-1.281394196,-0.669456075,-1.078232674,-0.457403391,-0.987702963,-1.287081036,-1.414674476,-1.127191702,0.322336731,-0.230734072,-0.262088162,-0.370958453
4525,김영일,1996,OF,-0.53815584,-0.403927551,-0.473744945,-1.040927606,-0.924248234,-0.84371524,-1.124447395,-0.564258973,-1.096923895,-1.538233489,2.063490716,1.165378924,0.3347035,0.675667148,0.836779432,0.929988082
4532,이중화,1996,RF,-0.56457516,-0.452084738,-0.387213346,-0.225373251,-0.516081421,-0.495196909,-0.754729624,-0.029981063,-0.6054297,-0.910352356,0.133670029,-0.197771178,-0.49387005,-0.400684301,-0.168963789,-0.240617874
4538,조현,1996,CF,-0.580426752,-0.644713488,0.183895213,-0.513215965,-0.490570995,-0.146678578,-0.292582409,-0.564258973,-0.332377369,0.554703619,-0.651722111,-0.548885598,-0.456769742,-0.513984454,-0.485586655,-0.648854405
4539,김현민,1996,1B,-0.580426752,-0.564451509,-0.075699587,-0.897006249,-0.847716957,-0.495196909,-0.385011852,-0.671114555,-1.042313429,-0.742917388,0.088790478,-0.48692423,0.260502884,-0.020319503,-0.113089166,-0.201269774
4542,정경배,1996,2B,-0.585710616,-0.468137134,-0.387213346,-0.369294608,-0.260977162,-0.669456075,-0.385011852,-0.243692227,-0.496208768,0.261692424,0.133670029,-0.383655283,-0.394935895,-0.408777169,-0.206213538,-0.292262254
4545,강영수,1996,LF,-0.585710616,-0.682169078,0.287733132,-1.184848962,-1.179352493,-0.669456075,-0.985803231,-0.671114555,-0.550819234,-0.910352356,-1.661512005,-0.259732546,-1.260609754,-0.926720724,-0.560086153,-0.725091347
4546,장정석,1996,OF,-0.585710616,-0.767781855,0.564634252,-0.513215965,-0.669143976,-0.320937744,-0.385011852,-0.564258973,-0.168545971,-0.031318771,-1.010758518,-0.46627044,-0.864873133,-0.748677627,-0.634585651,-0.769357959
4547,김민호,1996,1B,-0.59099448,-0.724975467,0.426183692,-1.040927606,-1.07731079,-0.146678578,-0.569870738,-0.564258973,-0.714650632,-0.910352356,-1.504433577,-0.982615176,-0.320735279,-0.594913134,-0.653210525,-0.811165314
4557,김선진,1996,1B,-0.627981527,-0.275508385,-1.165997743,0.638154888,0.555356465,0.201839753,0.539282577,1.252285922,-0.004714573,0.345409908,-0.135607276,-0.590193177,-0.110500199,-0.303569885,-0.262088162,-0.36603994
4566,장광호,1996,C,-0.643833119,-1.115583764,1.499175529,-0.513215965,-0.133425033,-0.495196909,-0.662300181,-0.671114555,-0.332377369,-0.115036255,-0.651722111,-1.065230333,-0.988540827,-1.064299481,-0.83945927,-1.030039117
4567,송인호,1996,2B,-0.654400847,-0.799886647,0.443490012,-1.088901391,-1.25588377,-0.669456075,-1.124447395,-0.243692227,-0.987702963,-0.910352356,-1.280035823,-0.342347704,-1.322443601,-0.999556536,-3.093069081,-1.118572341
4568,장성호,1996,1B,-0.654400847,-0.575153106,-0.283375426,-0.609163536,-0.490570995,-0.495196909,-0.754729624,-0.671114555,-0.113935505,-0.19875374,-0.786360764,-0.590193177,-0.815406055,-0.764863363,-0.373837408,-0.508676801
